,DSTRCT_PPR_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
430,0.0,1.4,0.0,0.0,5.1,0.0,23.2,0.0,23.2,0.0,0.0,0.0,0.0,0.0,0.0,23.2,0.0,양평군,0.0,1.3,0.0,0.0,0.0,7.7,0.0,0.7,0.0,7.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,경기,2017
431,0.3,0.0,0.0,0.6,0.0,0.0,0.0,0.1,23.1,0.0,0.0,0.0,0.0,17.8,0.1,0.0,5.3,양평군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,1.8,0.0,0.3,재활용,0.0,1.3,0.0,0.0,경기,2017
432,76.0,7.9,2.9,0.0,27.0,33.9,133.2,0.4,361.7,0.9,2.1,0.0,0.0,66.0,0.0,99.3,162.5,춘천시,0.0,1.6,0.0,0.0,0.2,18.2,2.8,1.1,13.5,43.5,6.2,3.1,42.0,발생량,24.5,17.6,4.2,0.0,강원,2017
433,0.0,0.0,0.0,0.0,0.0,23.5,23.5,0.0,23.5,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,춘천시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,매립,18.3,0.0,3.5,0.0,강원,2017
434,0.0,7.9,0.0,0.0,20.4,4.3,86.5,0.0,86.5,0.0,0.4,0.0,0.0,0.0,0.0,82.2,0.0,춘천시,0.0,1.6,0.0,0.0,0.0,12.7,0.0,1.1,0.0,38.5,0.0,1.4,0.0,소각,1.8,0.0,0.7,0.0,강원,2017
435,76.0,0.0,2.9,0.0,6.6,6.1,23.2,0.4,251.7,0.9,0.8,0.0,0.0,66.0,0.0,17.1,162.5,춘천시,0.0,0.0,0.0,0.0,0.2,5.5,2.8,0.0,13.5,5.0,6.2,0.9,42.0,재활용,4.4,17.6,0.0,0.0,강원,2017
436,122.1,0.0,0.6,6.3,0.0,28.8,116.5,0.2,415.1,22.7,6.0,15.5,0.0,76.4,0.1,87.7,222.2,원주시,0.1,0.0,3.5,0.1,17.5,87.7,5.8,0.0,12.9,0.0,7.7,0.0,4.9,발생량,22.8,2.2,0.0,0.0,강원,2017
437,0.0,0.0,0.0,0.0,0.0,28.8,28.8,0.0,28.8,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,원주시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,22.8,0.0,0.0,0.0,강원,2017
438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,원주시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,강원,2017
439,122.1,0.0,0.6,6.3,0.0,0.0,87.7,0.2,386.3,22.7,0.0,15.5,0.0,76.4,0.1,87.7,222.2,원주시,0.1,0.0,3.5,0.1,17.5,87.7,5.8,0.0,12.9,0.0,7.7,0.0,4.9,재활용,0.0,2.2,0.0,0.0,강원,2017
440,40.2,0.2,0.0,1.5,19.1,12.8,99.5,0.4,264.1,4.5,1.6,6.7,0.0,59.6,0.0,86.7,105.0,강릉시,0.3,1.8,13.1,0.0,2.7,43.6,0.7,0.4,6.9,21.6,3.3,5.3,0.9,발생량,3.4,2.4,2.5,21.4,강원,2017
441,0.0,0.2,0.0,0.0,17.0,12.8,90.0,0.0,90.0,0.0,1.6,0.0,0.0,0.0,0.0,77.2,0.0,강릉시,0.0,1.6,0.0,0.0,0.0,38.8,0.0,0.3,0.0,19.3,0.0,5.3,0.0,매립,3.4,0.0,2.5,0.0,강원,2017
442,0.0,0.0,0.0,0.0,2.1,0.0,9.5,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,9.5,0.0,강릉시,0.0,0.2,0.0,0.0,0.0,4.8,0.0,0.1,0.0,2.3,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,강원,2017
443,40.2,0.0,0.0,1.5,0.0,0.0,0.0,0.4,164.6,4.5,0.0,6.7,0.0,59.6,0.0,0.0,105.0,강릉시,0.3,0.0,13.1,0.0,2.7,0.0,0.7,0.0,6.9,0.0,3.3,0.0,0.9,재활용,0.0,2.4,0.0,21.4,강원,2017
444,9.6,3.0,0.1,0.0,5.0,9.4,85.2,0.1,127.6,0.4,3.6,0.1,1.4,26.9,0.1,74.4,15.5,동해시,0.1,1.5,0.0,0.1,0.3,32.9,0.1,3.0,1.8,29.0,0.6,1.7,0.4,발생량,2.7,1.7,1.4,0.0,강원,2017
445,0.0,3.0,0.0,0.0,5.0,9.4,85.2,0.0,85.2,0.0,3.6,0.0,1.4,0.0,0.0,74.4,0.0,동해시,0.0,1.5,0.0,0.0,0.0,32.9,0.0,3.0,0.0,29.0,0.0,1.7,0.0,매립,2.7,0.0,1.4,0.0,강원,2017
446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,동해시,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,강원,2017
447,9.6,0.0,0.1,0.0,0.0,0.0,0.0,0.1,42.4,0.4,0.0,0.1,0.0,26.9,0.1,0.0,15.5,동해시,0.1,0.0,0.0,0.1,0.3,0.0,0.1,0.0,1.8,0.0,0.6,0.0,0.4,재활용,0.0,1.7,0.0,0.0,강원,2017
448,1.0,0.6,0.1,0.0,13.7,26.2,48.0,0.0,63.0,0.1,0.0,0.0,0.0,12.8,0.0,21.8,2.2,태백시,0.0,3.1,0.0,0.0,0.0,0.2,0.1,1.1,0.1,3.1,0.4,1.3,0.1,발생량,22.8,0.3,2.1,0.0,강원,2017
