,DSTRCT_PPR_KIND_QTY,DSTRCT_RSDL_KIND_QTY,COMB_FOOD_VEGET,DSTRCT_ETC_KIND_QTY,DSTRCT_ELEPDT_KIND_QTY,COMB_PLAS_KIND,NCMB_SUM,SPEC_SUM,DSTRCT_FMDRSNS_KIND_QTY,TOT_SUM,DSTRCT_FARM_KIND_QTY,NCMB_SAND_KIND,DSTRCT_FURN_KIND_QTY,ETC_KIND,FOOD_SUM,DSTRCT_F_LIGHT_QTY,COMB_SUM,DSTRCT_SUM,CTS_JIDT_NM,DSTRCT_WTC_OIL_KIND_QTY,COMB_RUBBER_KIND,DSTRCT_LUBRICANT_QTY,DSTRCT_BATTERY_KIND_QTY,DSTRCT_CLOTHES_KIND_QTY,COMB_ETC_ETC_KIND,DSTRCT_SYNRSNS_KIND_QTY,COMB_WOOD_KIND,DSTRCT_S_IRON_KIND_QTY,COMB_PPR_KIND,DSTRCT_PLAS_KIND_QTY,NCMB_MET_KIND,DSTRCT_CAN_KIND_QTY,DATA_TM_NM,NCMB_ETC_KIND,DSTRCT_GLSS_KIND_QTY,NCMB_GLSS_KIND,DSTRCT_TIRE_KIND_QTY,CITY_JIDT_NM,year
581,0.0,0.0,2.5,0.0,0.0,2.5,1.0,8.3,0.0,8.3,0.0,0.0,0.0,0.6,0.0,0.0,6.7,0.0,금산군,0.0,0.2,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,매립,0.0,0.0,1.0,0.0,충남,2018
582,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.4,0.0,9.4,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,금산군,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.4,0.0,4.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,충남,2018
583,0.2,0.0,0.0,0.0,0.0,3.0,0.0,7.8,0.1,22.0,1.4,0.0,0.0,0.0,11.0,0.0,7.8,3.2,금산군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,4.8,0.3,0.0,0.2,재활용,0.0,0.9,0.0,0.0,충남,2018
584,0.2,0.0,7.5,0.3,0.8,13.1,0.0,40.9,0.1,51.5,3.0,0.0,3.8,0.0,0.6,0.1,40.9,10.0,부여군,0.0,1.0,0.0,0.1,0.0,11.4,0.2,4.4,0.2,3.5,0.3,0.0,0.1,발생량,0.0,0.8,0.0,0.0,충남,2018
585,0.0,0.0,7.5,0.0,0.0,3.1,0.0,23.1,0.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,23.1,0.0,부여군,0.0,1.0,0.0,0.0,0.0,7.6,0.0,0.4,0.0,3.5,0.0,0.0,0.0,매립,0.0,0.0,0.0,0.0,충남,2018
586,0.0,0.0,0.0,0.0,0.0,10.0,0.0,17.8,0.0,17.8,0.0,0.0,0.0,0.0,0.0,0.0,17.8,0.0,부여군,0.0,0.0,0.0,0.0,0.0,3.8,0.0,4.0,0.0,0.0,0.0,0.0,0.0,소각,0.0,0.0,0.0,0.0,충남,2018
587,0.2,0.0,0.0,0.3,0.8,0.0,0.0,0.0,0.1,10.6,3.0,0.0,3.8,0.0,0.6,0.1,0.0,10.0,부여군,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.0,0.2,0.0,0.3,0.0,0.1,재활용,0.0,0.8,0.0,0.0,충남,2018
588,1.0,0.0,8.2,2.7,0.1,3.9,10.0,36.3,0.0,55.1,0.1,4.0,0.1,0.0,10.8,0.0,26.3,8.0,서천군,0.1,4.0,0.0,0.0,0.2,5.8,0.2,2.4,1.2,2.0,0.6,2.6,0.3,발생량,1.2,1.4,2.2,0.0,충남,2018
589,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,4.5,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,서천군,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,매립,0.5,0.0,0.5,0.0,충남,2018
590,0.0,0.0,8.2,0.0,0.0,3.5,4.5,30.0,0.0,38.2,0.0,1.5,0.0,0.0,8.2,0.0,25.5,0.0,서천군,0.0,4.0,0.0,0.0,0.0,5.8,0.0,2.0,0.0,2.0,0.0,1.3,0.0,소각,0.6,0.0,1.1,0.0,충남,2018
